"transaction_id","account_id","date","time","amount","transaction_type","payee_payer_name","payee_payer_account_number"
1,1,"2025-01-15","09:00:00","1000.00","Deposit","Tech Corp Payroll","ACH123456"
2,1,"2025-01-20","14:30:00","-250.00","Withdrawal","ATM Withdrawal","ATM789"
3,1,"2025-01-25","16:45:00","-350.00","Payment","Walmart Store #1234","POS456789"
4,1,"2025-02-01","08:30:00","1000.00","Deposit","Tech Corp Payroll","ACH123456"
5,1,"2025-02-05","10:15:00","-1200.00","Payment","Rental Properties LLC","ACC1000089"
6,2,"2025-01-10","11:20:00","500.00","Transfer","John Doe","ACC1000001"
7,2,"2025-01-31","23:59:00","25.75","Interest","Bank Interest","BANK001"
8,2,"2025-02-05","15:45:00","-25.00","Transfer","John Doe","ACC1000001"
9,3,"2025-01-15","09:15:00","800.00","Deposit","Marketing Inc Payroll","ACH789012"
10,3,"2025-01-22","13:30:00","-500.00","Payment","State Farm Insurance","INS456789"
11,3,"2025-02-01","14:20:00","-500.00","Payment","Chase Credit Card","CC123456"
12,4,"2025-01-10","16:30:00","-100.00","Transfer","Alice Smith","ACC1000003"
13,4,"2025-01-31","23:59:00","12.50","Interest","Bank Interest","BANK001"
14,4,"2025-02-05","09:45:00","-12.50","Fee","Bank Service Fee","BANK001"
15,5,"2025-01-15","09:30:00","1200.00","Deposit","Sales Corp Payroll","ACH345678"
16,5,"2025-01-25","11:15:00","-400.00","Payment","City Utilities","UTL789012"
17,5,"2025-02-01","14:45:00","-300.00","Payment","Verizon Wireless","TEL456789"
18,6,"2025-01-16","10:00:00","750.00","Deposit","Design LLC Payroll","ACH901234"
19,6,"2025-01-26","15:30:00","-200.00","Payment","Netflix","STR123456"
20,6,"2025-02-02","13:20:00","-300.00","Payment","Amazon.com","RET789012"
21,7,"2025-01-11","12:45:00","1000.00","Transfer","Emily Davis","ACC1000006"
22,7,"2025-01-31","23:59:00","15.50","Interest","Bank Interest","BANK001"
23,7,"2025-02-06","10:30:00","-915.50","Transfer","Emily Davis","ACC1000006"
24,8,"2025-01-15","09:45:00","2000.00","Deposit","Tech Solutions Payroll","ACH567890"
25,8,"2025-01-27","16:15:00","-450.00","Payment","Costco Wholesale","RET345678"
26,9,"2025-01-17","11:30:00","1200.00","Deposit","Education Corp Payroll","ACH234567"
27,9,"2025-01-28","14:20:00","-350.00","Payment","Target","RET901234"
28,10,"2025-01-18","10:15:00","3500.00","Deposit","Finance Inc Payroll","ACH678901"
29,10,"2025-01-29","15:45:00","-800.00","Payment","Home Depot","RET567890"
30,10,"2025-02-03","13:10:00","-1000.00","Transfer","Laura Anderson","ACC1000016"
31,11,"2025-01-15","09:00:00","1500.00","Deposit","Medical Corp Payroll","ACH432109"
32,12,"2025-01-16","10:30:00","1500.00","Deposit","Legal LLC Payroll","ACH876543"
33,13,"2025-01-31","23:59:00","20.50","Interest","Bank Interest","BANK001"
34,14,"2025-01-17","11:45:00","1000.00","Deposit","Restaurant Inc Payroll","ACH654321"
35,15,"2025-01-18","09:15:00","1800.00","Deposit","Construction Corp Payroll","ACH098765"
36,16,"2025-01-15","09:15:00","2500.00","Deposit","Software Corp Payroll","ACH789654"
37,16,"2025-01-20","13:45:00","-800.00","Payment","Mortgage Company","MTG123456"
38,16,"2025-01-25","15:30:00","-150.00","Payment","AT&T Wireless","TEL987654"
39,16,"2025-02-01","09:00:00","2500.00","Deposit","Software Corp Payroll","ACH789654"
40,16,"2025-02-05","11:20:00","-850.00","Payment","Mortgage Company","MTG123456"
41,17,"2025-01-15","09:30:00","900.00","Deposit","Retail Corp Payroll","ACH456789"
42,17,"2025-01-22","14:15:00","-250.00","Payment","Electric Company","UTL234567"
43,17,"2025-01-28","16:45:00","-150.00","Payment","Internet Provider","TEL876543"
44,17,"2025-02-01","09:30:00","900.00","Deposit","Retail Corp Payroll","ACH456789"
45,18,"2025-01-15","09:00:00","2000.00","Deposit","Healthcare Inc Payroll","ACH345678"
46,18,"2025-01-21","12:30:00","-500.00","Payment","Car Loan","AUT987654"
47,18,"2025-01-25","15:45:00","-300.00","Payment","Insurance Co","INS234567"
48,18,"2025-02-01","09:00:00","2000.00","Deposit","Healthcare Inc Payroll","ACH345678"
49,19,"2025-01-31","23:59:00","15.25","Interest","Bank Interest","BANK001"
50,19,"2025-02-05","10:15:00","-100.00","Transfer","Joshua King","ACC1000029"
51,20,"2025-01-15","09:45:00","1300.00","Deposit","Restaurant Corp Payroll","ACH567890"
52,20,"2025-01-23","14:30:00","-400.00","Payment","Water Company","UTL345678"
53,20,"2025-01-28","16:15:00","-200.00","Payment","Gas Company","UTL456789"
150,48,"2025-01-15","09:00:00","3500.00","Deposit","Executive Corp Payroll","ACH123789"
151,48,"2025-01-20","11:30:00","-1200.00","Payment","Luxury Car Lease","AUT456789"
152,48,"2025-01-25","14:45:00","-500.00","Payment","Property Tax","TAX987654"
153,48,"2025-02-01","09:00:00","3500.00","Deposit","Executive Corp Payroll","ACH123789"
154,49,"2025-01-31","23:59:00","22.50","Interest","Bank Interest","BANK001"
155,49,"2025-02-05","10:30:00","500.00","Transfer","Sophia Rodriguez","ACC1000048"
156,49,"2025-02-10","15:45:00","-300.00","Transfer","Sophia Rodriguez","ACC1000048"
157,50,"2025-01-15","09:15:00","5000.00","Deposit","Tech Executive Payroll","ACH789123"
158,50,"2025-01-22","13:45:00","-1500.00","Payment","Investment Advisor","INV456789"
159,50,"2025-01-28","16:30:00","-800.00","Payment","Country Club","CLB987654"
160,50,"2025-02-01","09:15:00","5000.00","Deposit","Tech Executive Payroll","ACH789123"
161,25,"2025-01-15","09:30:00","2000.00","Deposit","Engineering Corp Payroll","ACH567123"
162,25,"2025-01-23","14:15:00","-450.00","Payment","Student Loan","STL789456"
163,30,"2025-01-16","10:45:00","1300.00","Deposit","Sales Corp Payroll","ACH234567"
164,35,"2025-01-17","11:30:00","2500.00","Deposit","Marketing Corp Payroll","ACH890123"
165,40,"2025-01-18","09:45:00","3200.00","Deposit","Finance Corp Payroll","ACH456789"
166,45,"2025-01-19","10:15:00","1800.00","Deposit","Retail Corp Payroll","ACH123456"
167,27,"2025-01-20","13:30:00","-300.00","Payment","Gym Membership","GYM789123"
168,32,"2025-01-21","15:45:00","-250.00","Payment","Phone Bill","TEL456789"
169,37,"2025-01-22","14:20:00","-400.00","Payment","Car Insurance","INS123789"
170,42,"2025-01-23","16:10:00","-350.00","Payment","Home Insurance","INS456123"
171,21,"2025-01-15","09:15:00","1200.00","Deposit","Dental Corp Payroll","ACH234567"
172,21,"2025-01-20","13:45:00","-400.00","Payment","Student Loan Corp","STL789012"
173,21,"2025-01-25","15:30:00","-200.00","Payment","Gym Plus","GYM456789"
174,21,"2025-02-01","09:15:00","1200.00","Deposit","Dental Corp Payroll","ACH234567"
175,22,"2025-01-15","09:30:00","800.00","Deposit","Retail Store Payroll","ACH345678"
176,22,"2025-01-21","14:20:00","-300.00","Payment","Cell Phone Bill","TEL567890"
177,22,"2025-01-28","16:45:00","-150.00","Payment","Internet Service","ISP789012"
178,22,"2025-02-01","09:30:00","800.00","Deposit","Retail Store Payroll","ACH345678"
179,23,"2025-01-15","09:00:00","1800.00","Deposit","Tech Support Payroll","ACH456789"
180,23,"2025-01-22","12:30:00","-500.00","Payment","Car Payment","AUT890123"
181,23,"2025-01-26","15:45:00","-250.00","Payment","Electric Bill","UTL123456"
182,23,"2025-02-01","09:00:00","1800.00","Deposit","Tech Support Payroll","ACH456789"
183,24,"2025-01-15","09:45:00","1500.00","Deposit","Education Corp Payroll","ACH567890"
184,24,"2025-01-23","11:30:00","-600.00","Payment","Rent Payment","RNT234567"
185,24,"2025-01-27","14:15:00","-200.00","Payment","Gas Bill","UTL345678"
186,24,"2025-02-01","09:45:00","1500.00","Deposit","Education Corp Payroll","ACH567890"
187,25,"2025-01-15","09:20:00","2000.00","Deposit","Medical Office Payroll","ACH678901"
188,26,"2025-01-15","09:35:00","2200.00","Deposit","Legal Firm Payroll","ACH789012"
189,27,"2025-01-15","09:50:00","900.00","Deposit","Retail Corp Payroll","ACH890123"
190,28,"2025-01-15","10:05:00","2000.00","Deposit","Insurance Corp Payroll","ACH901234"
191,29,"2025-01-15","10:20:00","1500.00","Deposit","Restaurant Group Payroll","ACH012345"
192,30,"2025-01-15","10:35:00","1800.00","Deposit","Hotel Services Payroll","ACH123456"
193,25,"2025-01-20","13:15:00","-700.00","Payment","Car Loan","AUT456789"
194,26,"2025-01-21","14:30:00","-800.00","Payment","Mortgage","MTG567890"
195,27,"2025-01-22","15:45:00","-400.00","Payment","Credit Card","CCD678901"
196,28,"2025-01-23","16:00:00","-600.00","Payment","Student Loan","STL789012"
197,29,"2025-01-24","11:15:00","-500.00","Payment","Home Insurance","INS890123"
198,30,"2025-01-25","12:30:00","-400.00","Payment","Auto Insurance","INS901234"
199,31,"2025-01-15","09:25:00","2500.00","Deposit","Engineering Firm Payroll","ACH234567"
200,32,"2025-01-15","09:40:00","3500.00","Deposit","Architecture Corp Payroll","ACH345678"
201,33,"2025-01-15","09:55:00","5000.00","Deposit","Executive Corp Payroll","ACH456789"
202,34,"2025-01-15","10:10:00","3500.00","Deposit","Sales Corp Payroll","ACH567890"
203,35,"2025-01-15","10:25:00","2500.00","Deposit","Marketing Firm Payroll","ACH678901"
204,31,"2025-01-20","13:30:00","-900.00","Payment","Mortgage","MTG789012"
205,32,"2025-01-21","14:45:00","-1200.00","Payment","Investment Fund","INV890123"
206,33,"2025-01-22","15:00:00","-1500.00","Payment","Property Tax","TAX901234"
207,34,"2025-01-23","16:15:00","-800.00","Payment","Car Lease","AUT012345"
208,35,"2025-01-24","11:30:00","-700.00","Payment","Home Repair","CNT123456"
209,36,"2025-01-15","09:15:00","1500.00","Deposit","Healthcare Corp Payroll","ACH234567"
210,37,"2025-01-15","09:30:00","5500.00","Deposit","Finance Corp Payroll","ACH345678"
211,38,"2025-01-15","09:45:00","2000.00","Deposit","Retail Management Payroll","ACH456789"
212,39,"2025-01-15","10:00:00","2200.00","Deposit","Education Admin Payroll","ACH567890"
213,40,"2025-01-15","10:15:00","3200.00","Deposit","Tech Corp Payroll","ACH678901"
214,36,"2025-01-20","13:45:00","-500.00","Payment","Credit Card","CCD789012"
215,37,"2025-01-21","14:00:00","-1500.00","Payment","Investment Account","INV890123"
216,38,"2025-01-22","15:15:00","-700.00","Payment","Car Payment","AUT901234"
217,39,"2025-01-23","16:30:00","-800.00","Payment","Home Equity Loan","HEL012345"
218,40,"2025-01-24","11:45:00","-600.00","Payment","Insurance Bundle","INS123456"
219,41,"2025-01-15","09:20:00","720.00","Deposit","Part-time Work Payroll","ACH234567"
220,42,"2025-01-15","09:35:00","2000.00","Deposit","Restaurant Mgmt Payroll","ACH345678"
221,43,"2025-01-15","09:50:00","4000.00","Deposit","Legal Corp Payroll","ACH456789"
222,44,"2025-01-15","10:05:00","1500.00","Deposit","Retail Corp Payroll","ACH567890"
223,45,"2025-01-15","10:20:00","1800.00","Deposit","Service Corp Payroll","ACH678901"
224,41,"2025-01-20","14:00:00","-300.00","Payment","Phone Bill","TEL789012"
225,42,"2025-01-21","14:15:00","-600.00","Payment","Car Insurance","INS890123"
226,43,"2025-01-22","15:30:00","-1200.00","Payment","Mortgage","MTG901234"
227,44,"2025-01-23","16:45:00","-400.00","Payment","Student Loan","STL012345"
228,45,"2025-01-24","12:00:00","-500.00","Payment","Credit Card","CCD123456"
